NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
64,@user-tp4oz6yo5e,Ah curang seharusnya Jefri menang,Negatif,ah curang seharusnya jefri menang,"['ah', 'curang', 'seharusnya', 'jefri', 'menang']","['ah', 'curang', 'jefri', 'menang']","['ah', 'curang', 'jefri', 'menang']",ah curang jefri menang
65,@dianalimardi88,Bagus lah. Biar si JN jangan sok jago mulu. JN dorong2 mulu. Berharap si El jatoh n mentalnya jatoh. Padahal bukan krn dipukul tp krn didorong.,Positif,bagus lah. biar si jn jangan sok jago mulu. jn dorong2 mulu. berharap si el jatoh n mentalnya jatoh. padahal bukan krn dipukul tp krn didorong.,"['bagus', 'lah', '.', 'biar', 'si', 'jn', 'jangan', 'sok', 'jago', 'mulu', '.', 'jn', 'dorong2', 'mulu', '.', 'berharap', 'si', 'el', 'jatoh', 'n', 'mentalnya', 'jatoh', '.', 'padahal', 'bukan', 'krn', 'dipukul', 'tp', 'krn', 'didorong', '.']","['bagus', 'biar', 'si', 'jn', 'sok', 'jago', 'mulu', 'jn', 'mulu', 'berharap', 'si', 'el', 'jatoh', 'n', 'mentalnya', 'jatoh', 'krn', 'dipukul', 'tp', 'krn', 'didorong']","['bagus', 'biar', 'si', 'jn', 'sok', 'jago', 'mulu', 'jn', 'mulu', 'harap', 'si', 'el', 'jatoh', 'n', 'mental', 'jatoh', 'krn', 'pukul', 'tp', 'krn', 'dorong']",bagus biar si jn sok jago mulu jn mulu harap si el jatoh n mental jatoh krn pukul tp krn dorong
67,@holigoodslazada4338,UANG BERBICARA,Negatif,uang berbicara,"['uang', 'berbicara']","['uang', 'berbicara']","['uang', 'bicara']",uang bicara
72,@rezapramanaputra5652,El kabur².an mulu 😅,Negatif,el kabur².an mulu 😅,"['el', 'kabur².an', 'mulu', '😅']","['el', 'mulu']","['el', 'mulu']",el mulu
73,@lestarijaya1962,Komentatornya qemihak el rumi,Negatif,komentatornya qemihak el rumi,"['komentatornya', 'qemihak', 'el', 'rumi']","['komentatornya', 'qemihak', 'el', 'rumi']","['komentator', 'qemihak', 'el', 'rumi']",komentator qemihak el rumi
74,@Sunsun-pg6qj,"Konten. Orang bodoh saja yang se7 dengan kemenangan itu. Jelas2 nikol yang lebih banyak masuk pukulan nya. 

Jangan di tonton lagi acara seperti ini",Negatif,"konten. orang bodoh saja yang se7 dengan kemenangan itu. jelas2 nikol yang lebih banyak masuk pukulan nya. 

jangan di tonton lagi acara seperti ini","['konten', '.', 'orang', 'bodoh', 'saja', 'yang', 'se7', 'dengan', 'kemenangan', 'itu', '.', 'jelas2', 'nikol', 'yang', 'lebih', 'banyak', 'masuk', 'pukulan', 'nya', '.', 'jangan', 'di', 'tonton', 'lagi', 'acara', 'seperti', 'ini']","['konten', 'orang', 'bodoh', 'kemenangan', 'nikol', 'masuk', 'pukulan', 'nya', 'tonton', 'acara']","['konten', 'orang', 'bodoh', 'menang', 'nikol', 'masuk', 'pukul', 'nya', 'tonton', 'acara']",konten orang bodoh menang nikol masuk pukul nya tonton acara
77,@3GChannel828,"Mau kalah mau menang
Mereka itu gentle",Positif,"mau kalah mau menang
mereka itu gentle","['mau', 'kalah', 'mau', 'menang', 'mereka', 'itu', 'gentle']","['kalah', 'menang', 'gentle']","['kalah', 'menang', 'gentle']",kalah menang gentle
79,@user-cl3pt4zb8i,Apan.y jelas jelas poin di tangan jefri nikol. Masa yg menang al. Poin mutlak buat jefri.nokol bos.,Negatif,apan.y jelas jelas poin di tangan jefri nikol. masa yg menang al. poin mutlak buat jefri.nokol bos.,"['apan.y', 'jelas', 'jelas', 'poin', 'di', 'tangan', 'jefri', 'nikol', '.', 'masa', 'yg', 'menang', 'al', '.', 'poin', 'mutlak', 'buat', 'jefri.nokol', 'bos', '.']","['poin', 'tangan', 'jefri', 'nikol', 'yg', 'menang', 'al', 'poin', 'mutlak', 'bos']","['poin', 'tangan', 'jefri', 'nikol', 'yg', 'menang', 'al', 'poin', 'mutlak', 'bos']",poin tangan jefri nikol yg menang al poin mutlak bos
80,@singgihw9900,"Bgusan el rumu , rapih",Positif,"bgusan el rumu , rapih","['bgusan', 'el', 'rumu', ',', 'rapih']","['bgusan', 'el', 'rumu', 'rapih']","['bgusan', 'el', 'rumu', 'rapih']",bgusan el rumu rapih
81,@jhozemadrid4444,"Juri apaan?? Ronde 1-3 jefri unggul, ronde 4 el rumi emang unggul sih tapi menit 7:42 el jatuh bukan kepleset itu pukulan dan kuda2nya yg gk kuat.. ga jelas jurinya gw nntn 3x dari 2 sisi, dari sudut pandang el sama jefri, harusnya jefri win no debat!",Negatif,"juri apaan?? ronde 1-3 jefri unggul, ronde 4 el rumi emang unggul sih tapi menit 7:42 el jatuh bukan kepleset itu pukulan dan kuda2nya yg gk kuat.. ga jelas jurinya gw nntn 3x dari 2 sisi, dari sudut pandang el sama jefri, harusnya jefri win no debat!","['juri', 'apaan', '?', '?', 'ronde', '1-3', 'jefri', 'unggul', ',', 'ronde', '4', 'el', 'rumi', 'emang', 'unggul', 'sih', 'tapi', 'menit', '7:42', 'el', 'jatuh', 'bukan', 'kepleset', 'itu', 'pukulan', 'dan', 'kuda2nya', 'yg', 'gk', 'kuat', '..', 'ga', 'jelas', 'jurinya', 'gw', 'nntn', '3x', 'dari', '2', 'sisi', ',', 'dari', 'sudut', 'pandang', 'el', 'sama', 'jefri', ',', 'harusnya', 'jefri', 'win', 'no', 'debat', '!']","['juri', 'ronde', 'jefri', 'unggul', 'ronde', 'el', 'rumi', 'emang', 'unggul', 'sih', 'menit', 'el', 'jatuh', 'kepleset', 'pukulan', 'yg', 'gk', 'kuat', 'ga', 'jurinya', 'gw', 'nntn', 'sisi', 'sudut', 'pandang', 'el', 'jefri', 'jefri', 'win', 'no', 'debat']","['juri', 'ronde', 'jefri', 'unggul', 'ronde', 'el', 'rumi', 'emang', 'unggul', 'sih', 'menit', 'el', 'jatuh', 'kepleset', 'pukul', 'yg', 'gk', 'kuat', 'ga', 'juri', 'gw', 'nntn', 'sisi', 'sudut', 'pandang', 'el', 'jefri', 'jefri', 'win', 'no', 'debat']",juri ronde jefri unggul ronde el rumi emang unggul sih menit el jatuh kepleset pukul yg gk kuat ga juri gw nntn sisi sudut pandang el jefri jefri win no debat
83,@agussatria2235,Main sogok dong,Negatif,main sogok dong,"['main', 'sogok', 'dong']","['main', 'sogok']","['main', 'sogok']",main sogok
84,@pampam-tu8hj,Di pertandingan ini inyong idolaku yg menang ....,Positif,di pertandingan ini inyong idolaku yg menang ....,"['di', 'pertandingan', 'ini', 'inyong', 'idolaku', 'yg', 'menang', '....']","['pertandingan', 'inyong', 'idolaku', 'yg', 'menang']","['tanding', 'inyong', 'idola', 'yg', 'menang']",tanding inyong idola yg menang
85,@hakimyangadil5768,"Ngk JELAS Capek² Bertanding aja kalau Juri Indonesian bisa d sogok, sungguh Membangonkan Para Petaruh aja Kalau begitu 😂😂😂",Negatif,"ngk jelas capek² bertanding aja kalau juri indonesian bisa d sogok, sungguh membangonkan para petaruh aja kalau begitu 😂😂😂","['ngk', 'jelas', 'capek²', 'bertanding', 'aja', 'kalau', 'juri', 'indonesian', 'bisa', 'd', 'sogok', ',', 'sungguh', 'membangonkan', 'para', 'petaruh', 'aja', 'kalau', 'begitu', '😂😂😂']","['ngk', 'bertanding', 'aja', 'juri', 'indonesian', 'd', 'sogok', 'sungguh', 'membangonkan', 'petaruh', 'aja']","['ngk', 'tanding', 'aja', 'juri', 'indonesian', 'd', 'sogok', 'sungguh', 'membangonkan', 'taruh', 'aja']",ngk tanding aja juri indonesian d sogok sungguh membangonkan taruh aja
86,@laksonoroy5109,"Pesona Ahmad dhani  dipecah diturunkan ke ketiga anaknya : 
Al : flamboyan
El : fighter 
Dul : seniman/musik",Positif,"pesona ahmad dhani  dipecah diturunkan ke ketiga anaknya : 
al : flamboyan
el : fighter 
dul : seniman/musik","['pesona', 'ahmad', 'dhani', 'dipecah', 'diturunkan', 'ke', 'ketiga', 'anaknya', ':', 'al', ':', 'flamboyan', 'el', ':', 'fighter', 'dul', ':', 'seniman/musik']","['pesona', 'ahmad', 'dhani', 'dipecah', 'diturunkan', 'ketiga', 'anaknya', 'al', 'flamboyan', 'el', 'fighter', 'dul']","['pesona', 'ahmad', 'dhani', 'pecah', 'turun', 'tiga', 'anak', 'al', 'flamboyan', 'el', 'fighter', 'dul']",pesona ahmad dhani pecah turun tiga anak al flamboyan el fighter dul
87,@jumrianimuntaha5479,"Yg menang poin masuk UGD.
Lah yg kalah poin masuk Rumah makan..
Busettttt dah😅😅😂😂😂",Negatif,"yg menang poin masuk ugd.
lah yg kalah poin masuk rumah makan..
busettttt dah😅😅😂😂😂","['yg', 'menang', 'poin', 'masuk', 'ugd', '.', 'lah', 'yg', 'kalah', 'poin', 'masuk', 'rumah', 'makan', '..', 'busettttt', 'dah😅😅😂😂😂']","['yg', 'menang', 'poin', 'masuk', 'ugd', 'yg', 'kalah', 'poin', 'masuk', 'rumah', 'makan', 'busettttt']","['yg', 'menang', 'poin', 'masuk', 'ugd', 'yg', 'kalah', 'poin', 'masuk', 'rumah', 'makan', 'busettttt']",yg menang poin masuk ugd yg kalah poin masuk rumah makan busettttt
88,@mahyudiyudi8082,Jefri vs duit,Negatif,jefri vs duit,"['jefri', 'vs', 'duit']","['jefri', 'vs', 'duit']","['jefri', 'vs', 'duit']",jefri vs duit
89,@suspect6421,"Ini baru keren, gimana kalau lawan celos wkwkwkwk",Positif,"ini baru keren, gimana kalau lawan celos wkwkwkwk","['ini', 'baru', 'keren', ',', 'gimana', 'kalau', 'lawan', 'celos', 'wkwkwkwk']","['keren', 'gimana', 'lawan', 'celos', 'wkwkwkwk']","['keren', 'gimana', 'lawan', 'celos', 'wkwkwkwk']",keren gimana lawan celos wkwkwkwk
92,@ramdhanirama9951,Lu punya uang lu punya kuasa😂bapak nya menghalalkan segala cara untuk kemenangan anak nya😊,Negatif,lu punya uang lu punya kuasa😂bapak nya menghalalkan segala cara untuk kemenangan anak nya😊,"['lu', 'punya', 'uang', 'lu', 'punya', 'kuasa😂bapak', 'nya', 'menghalalkan', 'segala', 'cara', 'untuk', 'kemenangan', 'anak', 'nya😊']","['lu', 'uang', 'lu', 'nya', 'menghalalkan', 'kemenangan', 'anak']","['lu', 'uang', 'lu', 'nya', 'halal', 'menang', 'anak']",lu uang lu nya halal menang anak
95,@kawanriot1617,Kaya emak2 berantem ga sih,Negatif,kaya emak2 berantem ga sih,"['kaya', 'emak2', 'berantem', 'ga', 'sih']","['kaya', 'berantem', 'ga', 'sih']","['kaya', 'antem', 'ga', 'sih']",kaya antem ga sih
96,@SyaifBahri,Kelas rongsok,Negatif,kelas rongsok,"['kelas', 'rongsok']","['kelas', 'rongsok']","['kelas', 'rongsok']",kelas rongsok
97,@kamdahir390,Lebih seru ini dr pda si vicky vs azka,Positif,lebih seru ini dr pda si vicky vs azka,"['lebih', 'seru', 'ini', 'dr', 'pda', 'si', 'vicky', 'vs', 'azka']","['seru', 'dr', 'pda', 'si', 'vicky', 'vs', 'azka']","['seru', 'dr', 'pda', 'si', 'vicky', 'vs', 'azka']",seru dr pda si vicky vs azka
98,@RadennJery,"Bacot lah jelas2 yang harusnya yang menguasai pertandingan yang harusnya menang, biasa lah sistem indo jagoan slalu kalah sama pihak kedua",Negatif,"bacot lah jelas2 yang harusnya yang menguasai pertandingan yang harusnya menang, biasa lah sistem indo jagoan slalu kalah sama pihak kedua","['bacot', 'lah', 'jelas2', 'yang', 'harusnya', 'yang', 'menguasai', 'pertandingan', 'yang', 'harusnya', 'menang', ',', 'biasa', 'lah', 'sistem', 'indo', 'jagoan', 'slalu', 'kalah', 'sama', 'pihak', 'kedua']","['bacot', 'menguasai', 'pertandingan', 'menang', 'sistem', 'indo', 'jagoan', 'slalu', 'kalah']","['bacot', 'kuasa', 'tanding', 'menang', 'sistem', 'indo', 'jago', 'slalu', 'kalah']",bacot kuasa tanding menang sistem indo jago slalu kalah
100,@rustamasa4377,"Menang poin dr wasid doank sih.
Dan faktanya sekarang El_Rumi malah tepar. Padahal lebih tinggi lebih panjang pula.",Negatif,"menang poin dr wasid doank sih.
dan faktanya sekarang el_rumi malah tepar. padahal lebih tinggi lebih panjang pula.","['menang', 'poin', 'dr', 'wasid', 'doank', 'sih', '.', 'dan', 'faktanya', 'sekarang', 'el_rumi', 'malah', 'tepar', '.', 'padahal', 'lebih', 'tinggi', 'lebih', 'panjang', 'pula', '.']","['menang', 'poin', 'dr', 'wasid', 'doank', 'sih', 'faktanya', 'tepar']","['menang', 'poin', 'dr', 'wasid', 'doank', 'sih', 'fakta', 'tepar']",menang poin dr wasid doank sih fakta tepar
103,@Aka_Achmad,Hahahah..El rumi keok..wasit nya payah .buta,Negatif,hahahah..el rumi keok..wasit nya payah .buta,"['hahahah', '..', 'el', 'rumi', 'keok', '..', 'wasit', 'nya', 'payah', '.buta']","['hahahah', 'el', 'rumi', 'keok', 'wasit', 'nya', 'payah']","['hahahah', 'el', 'rumi', 'keok', 'wasit', 'nya', 'payah']",hahahah el rumi keok wasit nya payah
105,@aliali-dz2cy,Gak spotif ni wasitnya sekalipun El Rumi menang seharusnya Poinnya gak selisi 2   Mnurut gw hanya hakim 1 yg memberikan penilaian yg sportif,Negatif,gak spotif ni wasitnya sekalipun el rumi menang seharusnya poinnya gak selisi 2   mnurut gw hanya hakim 1 yg memberikan penilaian yg sportif,"['gak', 'spotif', 'ni', 'wasitnya', 'sekalipun', 'el', 'rumi', 'menang', 'seharusnya', 'poinnya', 'gak', 'selisi', '2', 'mnurut', 'gw', 'hanya', 'hakim', '1', 'yg', 'memberikan', 'penilaian', 'yg', 'sportif']","['gak', 'spotif', 'ni', 'wasitnya', 'el', 'rumi', 'menang', 'poinnya', 'gak', 'selisi', 'mnurut', 'gw', 'hakim', 'yg', 'penilaian', 'yg', 'sportif']","['gak', 'spotif', 'ni', 'wasit', 'el', 'rumi', 'menang', 'poin', 'gak', 'lis', 'mnurut', 'gw', 'hakim', 'yg', 'nilai', 'yg', 'sportif']",gak spotif ni wasit el rumi menang poin gak lis mnurut gw hakim yg nilai yg sportif
108,@aprixaurora3360,lucu disogok berapa para jurinya shg bs menang,Negatif,lucu disogok berapa para jurinya shg bs menang,"['lucu', 'disogok', 'berapa', 'para', 'jurinya', 'shg', 'bs', 'menang']","['lucu', 'disogok', 'jurinya', 'shg', 'bs', 'menang']","['lucu', 'sogok', 'juri', 'shg', 'bs', 'menang']",lucu sogok juri shg bs menang
110,@asrulaslami1438,Norak skali cara tinju ini,Negatif,norak skali cara tinju ini,"['norak', 'skali', 'cara', 'tinju', 'ini']","['norak', 'skali', 'tinju']","['norak', 'skali', 'tinju']",norak skali tinju
114,@bilabongbungas2035,Spertinyaa el cerdas memakai tekhnik,Positif,spertinyaa el cerdas memakai tekhnik,"['spertinyaa', 'el', 'cerdas', 'memakai', 'tekhnik']","['spertinyaa', 'el', 'cerdas', 'memakai', 'tekhnik']","['spertinyaa', 'el', 'cerdas', 'pakai', 'tekhnik']",spertinyaa el cerdas pakai tekhnik
115,@bilabongbungas2035,Wow ptarungann yg luar biasa,Positif,wow ptarungann yg luar biasa,"['wow', 'ptarungann', 'yg', 'luar', 'biasa']","['wow', 'ptarungann', 'yg']","['wow', 'ptarungann', 'yg']",wow ptarungann yg
120,@darulhafizhin8788,Ikut terhibut.. Baru sekarang lihat pertandingannya..   El labih banyak kena sasaran pukulannya di banding jefri.. Pantas kalau el menang..   Penilaian saya sebagai penonton juri nya sudah Objektif dalam menilai..,Positif,ikut terhibut.. baru sekarang lihat pertandingannya..   el labih banyak kena sasaran pukulannya di banding jefri.. pantas kalau el menang..   penilaian saya sebagai penonton juri nya sudah objektif dalam menilai..,"['ikut', 'terhibut', '..', 'baru', 'sekarang', 'lihat', 'pertandingannya', '..', 'el', 'labih', 'banyak', 'kena', 'sasaran', 'pukulannya', 'di', 'banding', 'jefri', '..', 'pantas', 'kalau', 'el', 'menang', '..', 'penilaian', 'saya', 'sebagai', 'penonton', 'juri', 'nya', 'sudah', 'objektif', 'dalam', 'menilai', '..']","['terhibut', 'lihat', 'pertandingannya', 'el', 'labih', 'kena', 'sasaran', 'pukulannya', 'banding', 'jefri', 'el', 'menang', 'penilaian', 'penonton', 'juri', 'nya', 'objektif', 'menilai']","['terhibut', 'lihat', 'tanding', 'el', 'labih', 'kena', 'sasar', 'pukul', 'banding', 'jefri', 'el', 'menang', 'nilai', 'tonton', 'juri', 'nya', 'objektif', 'nilai']",terhibut lihat tanding el labih kena sasar pukul banding jefri el menang nilai tonton juri nya objektif nilai
123,@dewapermana2198,Jefri mantap gesit,Positif,jefri mantap gesit,"['jefri', 'mantap', 'gesit']","['jefri', 'mantap', 'gesit']","['jefri', 'mantap', 'gesit']",jefri mantap gesit
124,@dianalimardi88,Bagus lah. Biar si JN jangan sok jago mulu. JN dorong2 mulu. Berharap si El jatoh n mentalnya jatoh. Padahal bukan krn dipukul tp krn didorong.,Positif,bagus lah. biar si jn jangan sok jago mulu. jn dorong2 mulu. berharap si el jatoh n mentalnya jatoh. padahal bukan krn dipukul tp krn didorong.,"['bagus', 'lah', '.', 'biar', 'si', 'jn', 'jangan', 'sok', 'jago', 'mulu', '.', 'jn', 'dorong2', 'mulu', '.', 'berharap', 'si', 'el', 'jatoh', 'n', 'mentalnya', 'jatoh', '.', 'padahal', 'bukan', 'krn', 'dipukul', 'tp', 'krn', 'didorong', '.']","['bagus', 'biar', 'si', 'jn', 'sok', 'jago', 'mulu', 'jn', 'mulu', 'berharap', 'si', 'el', 'jatoh', 'n', 'mentalnya', 'jatoh', 'krn', 'dipukul', 'tp', 'krn', 'didorong']","['bagus', 'biar', 'si', 'jn', 'sok', 'jago', 'mulu', 'jn', 'mulu', 'harap', 'si', 'el', 'jatoh', 'n', 'mental', 'jatoh', 'krn', 'pukul', 'tp', 'krn', 'dorong']",bagus biar si jn sok jago mulu jn mulu harap si el jatoh n mental jatoh krn pukul tp krn dorong
125,@epinluneto,Jefri Nichols vs Randi Pangalila figth MMA??  mnding gak usah kasih Jefri nya nnti dijadiin samsakðŸ˜,Negatif,jefri nichols vs randi pangalila figth mma??  mnding gak usah kasih jefri nya nnti dijadiin samsakðÿ˜,"['jefri', 'nichols', 'vs', 'randi', 'pangalila', 'figth', 'mma', '?', '?', 'mnding', 'gak', 'usah', 'kasih', 'jefri', 'nya', 'nnti', 'dijadiin', 'samsakðÿ˜\x81']","['jefri', 'nichols', 'vs', 'randi', 'pangalila', 'figth', 'mma', 'mnding', 'gak', 'kasih', 'jefri', 'nya', 'nnti', 'dijadiin']","['jefri', 'nichols', 'vs', 'randi', 'pangalila', 'figth', 'mma', 'mnding', 'gak', 'kasih', 'jefri', 'nya', 'nnti', 'dijadiin']",jefri nichols vs randi pangalila figth mma mnding gak kasih jefri nya nnti dijadiin
128,@HendraHendra-st7lr,KLO ga ada pelindung kepala.. El Rumi udah pasti tumbang di awal,Negatif,klo ga ada pelindung kepala.. el rumi udah pasti tumbang di awal,"['klo', 'ga', 'ada', 'pelindung', 'kepala', '..', 'el', 'rumi', 'udah', 'pasti', 'tumbang', 'di', 'awal']","['klo', 'ga', 'pelindung', 'kepala', 'el', 'rumi', 'udah', 'tumbang']","['klo', 'ga', 'lindung', 'kepala', 'el', 'rumi', 'udah', 'tumbang']",klo ga lindung kepala el rumi udah tumbang
130,@holigoodslazada4338,UANG BERBICARA,Negatif,uang berbicara,"['uang', 'berbicara']","['uang', 'berbicara']","['uang', 'bicara']",uang bicara
131,@ihsannusantara,Kemenanga halu..saya ikutin semua ronde tak satu rondepun dimenangkan oleh El Rumi..,Negatif,kemenanga halu..saya ikutin semua ronde tak satu rondepun dimenangkan oleh el rumi..,"['kemenanga', 'halu', '..', 'saya', 'ikutin', 'semua', 'ronde', 'tak', 'satu', 'rondepun', 'dimenangkan', 'oleh', 'el', 'rumi', '..']","['kemenanga', 'halu', 'ikutin', 'ronde', 'rondepun', 'dimenangkan', 'el', 'rumi']","['kemenanga', 'halu', 'ikutin', 'ronde', 'ronde', 'menang', 'el', 'rumi']",kemenanga halu ikutin ronde ronde menang el rumi
132,@imutmainah8084,kayak emosi gitu si jerfriðŸ¤£,Negatif,kayak emosi gitu si jerfriðÿ¤£,"['kayak', 'emosi', 'gitu', 'si', 'jerfriðÿ¤£']","['kayak', 'emosi', 'gitu', 'si']","['kayak', 'emosi', 'gitu', 'si']",kayak emosi gitu si
134,@ipromotion1686,Kl mau jujur kemenangan harusnya Jefry. Penilaian tinju bukan berdasarkan pukulan masuk tapi ronde. Kl lawan jatuh otomatis poin 10:8 buat yg Mukul. Kl tdk Ada jatuh 9:8.  Setidaknya Ada 2 ronde dimenangkan Jefry 1 ronde draw 1 ronde dimenangkan el rumi. Otomatis poin   35:34 untuk kemenangan Jefry.,Negatif,kl mau jujur kemenangan harusnya jefry. penilaian tinju bukan berdasarkan pukulan masuk tapi ronde. kl lawan jatuh otomatis poin 10:8 buat yg mukul. kl tdk ada jatuh 9:8.  setidaknya ada 2 ronde dimenangkan jefry 1 ronde draw 1 ronde dimenangkan el rumi. otomatis poin   35:34 untuk kemenangan jefry.,"['kl', 'mau', 'jujur', 'kemenangan', 'harusnya', 'jefry', '.', 'penilaian', 'tinju', 'bukan', 'berdasarkan', 'pukulan', 'masuk', 'tapi', 'ronde', '.', 'kl', 'lawan', 'jatuh', 'otomatis', 'poin', '10:8', 'buat', 'yg', 'mukul', '.', 'kl', 'tdk', 'ada', 'jatuh', '9:8.', 'setidaknya', 'ada', '2', 'ronde', 'dimenangkan', 'jefry', '1', 'ronde', 'draw', '1', 'ronde', 'dimenangkan', 'el', 'rumi', '.', 'otomatis', 'poin', '35:34', 'untuk', 'kemenangan', 'jefry', '.']","['kl', 'jujur', 'kemenangan', 'jefry', 'penilaian', 'tinju', 'berdasarkan', 'pukulan', 'masuk', 'ronde', 'kl', 'lawan', 'jatuh', 'otomatis', 'poin', 'yg', 'mukul', 'kl', 'tdk', 'jatuh', 'ronde', 'dimenangkan', 'jefry', 'ronde', 'draw', 'ronde', 'dimenangkan', 'el', 'rumi', 'otomatis', 'poin', 'kemenangan', 'jefry']","['kl', 'jujur', 'menang', 'jefry', 'nilai', 'tinju', 'dasar', 'pukul', 'masuk', 'ronde', 'kl', 'lawan', 'jatuh', 'otomatis', 'poin', 'yg', 'mukul', 'kl', 'tdk', 'jatuh', 'ronde', 'menang', 'jefry', 'ronde', 'draw', 'ronde', 'menang', 'el', 'rumi', 'otomatis', 'poin', 'menang', 'jefry']",kl jujur menang jefry nilai tinju dasar pukul masuk ronde kl lawan jatuh otomatis poin yg mukul kl tdk jatuh ronde menang jefry ronde draw ronde menang el rumi otomatis poin menang jefry
135,@isarmadina5142,nampak sekali kecurangan xa tahii,Negatif,nampak sekali kecurangan xa tahii,"['nampak', 'sekali', 'kecurangan', 'xa', 'tahii']","['nampak', 'kecurangan', 'xa', 'tahii']","['nampak', 'curang', 'xa', 'tahi']",nampak curang xa tahi
136,@iwansaputra9731,Pukukan el bnyak masuk .. jefri mengandalakan kekuatan tapi sering miss sehingga stamina cepat terkuras tapi salut buat jefri awal naik sudah mantap  salut juga buat el peningkatan yg bagus ..hasil fair mnurut saya sih ..top buat ke dua nya ..ðŸ‘ðŸ‘ðŸ‘,Positif,pukukan el bnyak masuk .. jefri mengandalakan kekuatan tapi sering miss sehingga stamina cepat terkuras tapi salut buat jefri awal naik sudah mantap  salut juga buat el peningkatan yg bagus ..hasil fair mnurut saya sih ..top buat ke dua nya ..ðÿ‘ðÿ‘ðÿ‘,"['pukukan', 'el', 'bnyak', 'masuk', '..', 'jefri', 'mengandalakan', 'kekuatan', 'tapi', 'sering', 'miss', 'sehingga', 'stamina', 'cepat', 'terkuras', 'tapi', 'salut', 'buat', 'jefri', 'awal', 'naik', 'sudah', 'mantap', 'salut', 'juga', 'buat', 'el', 'peningkatan', 'yg', 'bagus', '..', 'hasil', 'fair', 'mnurut', 'saya', 'sih', '..', 'top', 'buat', 'ke', 'dua', 'nya', '..', 'ðÿ', '‘', '\x8dðÿ', '‘', '\x8dðÿ', '‘', '\x8d']","['pukukan', 'el', 'bnyak', 'masuk', 'jefri', 'mengandalakan', 'kekuatan', 'miss', 'stamina', 'cepat', 'terkuras', 'salut', 'jefri', 'mantap', 'salut', 'el', 'peningkatan', 'yg', 'bagus', 'hasil', 'fair', 'mnurut', 'sih', 'top', 'nya', 'ðÿ']","['pukukan', 'el', 'bnyak', 'masuk', 'jefri', 'mengandalakan', 'kuat', 'miss', 'stamina', 'cepat', 'kuras', 'salut', 'jefri', 'mantap', 'salut', 'el', 'tingkat', 'yg', 'bagus', 'hasil', 'fair', 'mnurut', 'sih', 'top', 'nya', '']",pukukan el bnyak masuk jefri mengandalakan kuat miss stamina cepat kuras salut jefri mantap salut el tingkat yg bagus hasil fair mnurut sih top nya 
